Code	Barrio	Foreign born	Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
0600000US7204523879	Doña Elena barrio, Comerío Municipio, Puerto Rico	0.1	56.6
0600000US7204556301	Naranjo barrio, Comerío Municipio, Puerto Rico	0	54.3
0600000US7204559010	Palomas barrio, Comerío Municipio, Puerto Rico	0.9	51.4
0600000US7204562020	Piñas barrio, Comerío Municipio, Puerto Rico	0	48.9
0600000US7204571265	Río Hondo barrio, Comerío Municipio, Puerto Rico	0	63.2
0600000US7204585412	Vega Redonda barrio, Comerío Municipio, Puerto Rico	0	36.9
0600000US7204700143	Abras barrio, Corozal Municipio, Puerto Rico	0	47.2
0600000US7204717945	Cibuco barrio, Corozal Municipio, Puerto Rico	0	49.7
0600000US7204720826	Corozal barrio-pueblo, Corozal Municipio, Puerto Rico	2.2	60.3
0600000US7204722288	Cuchillas barrio, Corozal Municipio, Puerto Rico	0	60.8
0600000US7204724094	Dos Bocas barrio, Corozal Municipio, Puerto Rico	0	53.9
0600000US7204748905	Magueyes barrio, Corozal Municipio, Puerto Rico	0	80.7
0600000US7204750066	Maná barrio, Corozal Municipio, Puerto Rico	0	76.7
0600000US7204756516	Negros barrio, Corozal Municipio, Puerto Rico	0	64.8
0600000US7204757677	Padilla barrio, Corozal Municipio, Puerto Rico	0	48.4
0600000US7204758107	Palmarejo barrio, Corozal Municipio, Puerto Rico	1.1	41.1
0600000US7204758322	Palmarito barrio, Corozal Municipio, Puerto Rico	0	51.9
0600000US7204759096	Palos Blancos barrio, Corozal Municipio, Puerto Rico	0	59.8
0600000US7204764557	Pueblo barrio, Corozal Municipio, Puerto Rico	0.3	58.3
0600000US7204922632	Culebra barrio-pueblo, Culebra Municipio, Puerto Rico	0.4	37.3
0600000US7204928566	Flamenco barrio, Culebra Municipio, Puerto Rico	2.5	47.2
0600000US7204929426	Fraile barrio, Culebra Municipio, Puerto Rico	0	-
0600000US7204963396	Playa Sardinas I barrio, Culebra Municipio, Puerto Rico	0	40
0600000US7204963439	Playa Sardinas II barrio, Culebra Municipio, Puerto Rico	0	0
0600000US7204976382	San Isidro barrio, Culebra Municipio, Puerto Rico	0	0
0600000US7205100000	Municipio subdivision not defined, Dorado Municipio, Puerto Rico	0	-
0600000US7205124051	Dorado barrio-pueblo, Dorado Municipio, Puerto Rico	-	51.8
0600000US7205127448	Espinosa barrio, Dorado Municipio, Puerto Rico	0.2	35.3
0600000US7205134758	Higuillar barrio, Dorado Municipio, Puerto Rico	0.7	26.3
0600000US7205148819	Maguayo barrio, Dorado Municipio, Puerto Rico	2.5	43
0600000US7205149808	Mameyal barrio, Dorado Municipio, Puerto Rico	0.8	-
0600000US7205171480	Río Lajas barrio, Dorado Municipio, Puerto Rico	-	31.5
0600000US7205309732	Cabezas barrio, Fajardo Municipio, Puerto Rico	0.6	18.3
0600000US7205323406	Demajagua barrio, Fajardo Municipio, Puerto Rico	3.5	12.6
0600000US7205328007	Fajardo barrio-pueblo, Fajardo Municipio, Puerto Rico	3.3	53
0600000US7205328695	Florencio barrio, Fajardo Municipio, Puerto Rico	1.3	49.1
